Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
70927,2007,04/01/2008,Bridgeport,4775 MAIN ST,389200.0,785000.0,0.495796178,,,,,,
70030,2007,10/16/2007,Branford,16 PINEVIEW,113300.0,223000.0,0.508071749,Condo,Condo,,,,
70007,2007,10/04/2007,Avon,6 WOODS HOLLOW CT,103680.0,165000.0,0.628363636,Condo,Condo,,,,
70858,2007,03/19/2008,Bridgeport,3200-2 PARK AVE #PHA,232860.0,600000.0,0.3881,Condo,Condo,,,,
70064,2007,09/03/2008,Bolton,25 WEST ST,500230.0,975000.0,0.51305641,,,,,,
71212,2007,05/29/2008,Bridgeport,214 CENTRAL AVE,229322.0,950000.0,0.241391579,,,,,,
70083,2007,10/10/2007,Bridgeport,3491 MAIN ST,24394.0,50000.0,0.48788,,,,,,
70236,2007,11/02/2007,Bridgeport,472 WORDIN AVE,295471.0,365000.0,0.809509589,,,,,,
70077,2007,08/22/2008,Bethany,696 AMITY RD #3,25030.0,60000.0,0.417166667,,,,,,
70094,2007,12/03/2007,Branford,226 NORTH MAIN ST,206200.0,550000.0,0.374909091,,,,,,
70920,2007,03/31/2008,Bridgeport,1416 NORTH AVE.,171780.0,125000.0,1.37424,,,01 - Family,,,
70139,2007,08/04/2008,Brooklyn,15 HYDE RD,52830.0,150000.0,0.3522,,,,,,
70053,2007,12/04/2007,Stafford,PATTEN RD,36540.0,55000.0,0.664363636,,,,,,
70077,2007,12/07/2007,East Lyme,QUARRY DOCK RD,143990.0,500000.0,0.28798,,,,,,
70012,2007,01/15/2008,Morris,43 TROTTA LN,135290.0,215000.0,0.629255814,,,,,,
70008,2007,12/26/2007,Cornwall,FREDERICK DR,23210.0,25000.0,0.9284,,,,,,
70157,2007,12/14/2007,Southington,48 LOMBARDO CT,66500.0,125000.0,0.532,,,,,,
70401,2007,04/18/2008,Manchester,183 SPRUCE ST,93700.0,139154.0,0.673354701,,,,,,
70257,2007,01/15/2008,Milford,110 RATON DR,556350.0,1000000.0,0.55635,,,,,,
70471,2007,05/05/2008,Milford,178 NAUGATUCK AVE,151690.0,220000.0,0.6895,,,,,,
70043,2007,10/25/2007,Enfield,479 TAYLOR RD,237510.0,505000.0,0.470316832,,,,,,
70416,2007,05/06/2008,Southington,WEBSTER PARK RD,69230.0,140000.0,0.4945,,,,,,
70134,2007,12/17/2007,Norwich,69 GRANT CT,32000.0,40000.0,0.8,,,,,,
70082,2007,11/01/2007,Fairfield,222 POST RD,1544480.0,15000.0,102.9653333,,,19 - Easement,,,
70014,2007,10/03/2007,Stratford,199 BAYFIELD LANE,227220.0,300000.0,0.7574,Condo,Condo,,,,
70286,2007,03/28/2008,Groton,GOLD STAR HWY,103740.0,150000.0,0.6916,,,24 - Plottage,,,
70496,2007,05/01/2008,Meriden,341 COLONY ST,147810.0,280000.0,0.527892857,,,,,,
70065,2007,11/06/2007,Norwich,345 ASYLUM ST,28000.0,60000.0,0.466666667,,,,,,
70385,2007,04/14/2008,Hamden,14 EAST GATE LN,112910.0,168000.0,0.672083333,Condo,Condo,,,,
70012,2007,10/12/2007,Stafford,127 WEST MAIN ST,210220.0,600000.0,0.350366667,,,,,,
70073,2007,01/14/2008,Monroe,877 MAIN ST,173980.0,439000.0,0.396309795,,,,,,
70289,2007,01/18/2008,Meriden,407 OLDE COLONY,90120.0,120000.0,0.751,Condo,Condo,,,,
70750,2007,08/18/2008,Meriden,6 BALSAM VIEW,107420.0,130000.0,0.826307692,Condo,Condo,,,,
70276,2007,01/10/2008,Milford,55 CLARK ST #V,128340.0,167000.0,0.768502994,Condo,Condo,,,,
70066,2007,02/21/2008,Haddam,168 TURKEY HILL RD,104290.0,175000.0,0.595942857,,,,,,
70103,2007,04/25/2008,Suffield,SECOND ST,0.0,27500.0,0.0,,,06 - Portion of Property,,,
70051,2007,02/06/2008,Putnam,72 PERRY ST #153,78400.0,156000.0,0.502564103,Condo,Condo,,,,
70024,2007,11/19/2007,Thompson,RIVERSIDE DR,10500.0,19800.0,0.53030303,,,,,,
70225,2007,06/02/2008,Cheshire,61 CURRIER WAY,118380.0,214500.0,0.551888112,Condo,Condo,,,,
70124,2007,04/20/2008,Monroe,208F WINDGATE CIR,130690.0,239900.0,0.544768654,Condo,Condo,,,,
70369,2007,05/14/2008,Norwich,1 POTTER AVE,27600.0,5000.0,5.52,,,28 - Use Assessment,,,
70341,2007,05/13/2008,Newington,23 ROSEMARY LN,123410.0,185000.0,0.667081081,Condo,Condo,,,,
70002,2007,10/04/2007,Salem,9 SYLEO LN,70290.0,150000.0,0.4686,,,,,,
70243,2007,02/15/2008,Norwich,323 OLD POND LN,60000.0,135000.0,0.444444444,Condo,Condo,,,,
70109,2007,01/22/2008,Plainville,319 EAST ST,94330.0,100000.0,0.9433,,,,,,
70899,2007,07/29/2008,New Haven,145 ADELINE ST,148750.0,20000.0,7.4375,,,01 - Family,,,
70201,2007,05/28/2008,North Haven,99 BROADWAY,11789750.0,23750000.0,0.496410526,,,,,,
70057,2007,10/26/2007,Groton,0 BRADLEY LN,72450.0,225000.0,0.322,,,,,,
70318,2007,01/18/2008,New Haven,530 EAST ST,144550.0,267000.0,0.541385768,,,,,,
70012,2007,10/05/2007,East Haven,25 GETTY RD,27510.0,75000.0,0.3668,,,,,,
